jp;fr;en
日;jour;day
一;1;1
国;pays;country
人;individu;person
年;an;year
大;grand;big
十;10;10
二;2;2
本;livre;book
中;dans;inside
長;long;long
出;quitter;to leave
三;3;3
時;temps;time
行;aller;to go
見;voir;to see
月;mois;month
分;minute;minute
後;derrière;behind
前;devant;in front
生;vie;life
五;5;5
間;intervalle;interval
上;au-dessus;on top
東;est (point cardinal);east
四;4;4
今;maintenant;now
金;or (métal);gold
九;9;9
入;entrer;to enter
学;étude;study
高;grand (haut);tall
円;cercle;circle
子;enfant;child
外;extérieur;exterior
八;8;8
六;6;6
下;sous;under
来;venir;to come
気;esprit, atmosphère;spirit, atmosphere
小;petit;small
七;7;7
山;montagne;mountain
話;conte;tale
女;femme;woman
北;nord (point cardinal);north
午;midi;noon
百;100;100
書;écrire;to write
先;avant;before
名;nom;name
川;rivière;river
千;1000;1000
水;eau;water
半;moitié;half
男;homme;man
西;ouest (point cardinal);west
電;électricité;electricity
校;école;school
語;mot, langue;word, speech
土;sol, terre;ground, earth
木;arbre;tree
聞;écouter;to listen
食;manger;to heat
車;voiture;car
何;quoi ?;what ?
南;sud (point cardinal);south
万;10'000;10'000
毎;chaque;every
白;blanc;white
天;ciel, paradis;sky, heaven
母;mère;mother
火;feu;fire
右;droite (direction);right (direction)
読;lire;to read
友;ami;friend
左;gauche (direction);left (direction)
休;dormir;sleep
父;père;father
雨;pluie;rain